test,timestamp,raw_data
,1779038630.735331,L:-18467 R:-10717
,1779038630.7373312,L:-18467 R:-10717
,1779038630.7392685,L:-18467 R:-10717
,1779038630.7403088,L:-18467 R:-10717
,1779038630.7421563,L:-18467 R:-10717
,1779038630.744069,L:-18467 R:-10717
,1779038630.7451966,L:-18467 R:-10717
,1779038630.7473035,L:-18467 R:-10717
,1779038630.7493362,L:-18467 R:-10717
,1779038630.7503383,L:-18467 R:-10717
,1779038630.7522998,L:-18467 R:-10717
,1779038630.7542565,L:-18467 R:-10717
,1779038630.7553747,L:-18467 R:-10717
,1779038630.7573326,L:-18467 R:-10717
,1779038630.7592351,L:-18467 R:-10717
,1779038630.7602816,L:-18467 R:-10717
,1779038630.762256,L:-18467 R:-10717
,1779038630.7633495,L:-18467 R:-10717
,1779038630.7651553,L:-18467 R:-10717
,1779038630.7671475,L:-18467 R:-10717
,1779038630.7684073,L:-18467 R:-10717
,1779038630.770611,L:-18467 R:-10717
,1779038630.7723472,L:-18467 R:-10717
,1779038630.7731793,L:-18467 R:-10717
,1779038630.77533,L:-18467 R:-10717
,1779038630.777256,L:-18467 R:-10717
,1779038630.778393,L:-18467 R:-10717
,1779038630.7802117,L:-18467 R:-10717
,1779038630.7823198,L:-18467 R:-10717
,1779038630.7833574,L:-18467 R:-10717
,1779038630.7853124,L:-18467 R:-10717
,1779038630.7870803,L:-18467 R:-10717
,1779038630.7881567,L:-18467 R:-10717
,1779038630.7901227,L:-18467 R:-10717
,1779038630.7913918,L:-18467 R:-10717
,1779038630.7933166,L:-18467 R:-10717
,1779038630.7952955,L:-18467 R:-10717
,1779038630.7963243,L:-18467 R:-10717
,1779038630.7981596,L:-18467 R:-10717
,1779038630.8002403,L:-18467 R:-10717
,1779038630.8022058,L:-18467 R:-10717
,1779038630.8032928,L:-18467 R:-10717
,1779038630.8053088,L:-18467 R:-10717
,1779038630.8072796,L:-18467 R:-10717
,1779038630.8083162,L:-18467 R:-10717
,1779038630.8102777,L:-18467 R:-10717
,1779038630.8113627,L:-18467 R:-10717
,1779038630.8133268,L:-18467 R:-10717
,1779038630.815325,L:-18467 R:-10717
,1779038630.8163607,L:-18467 R:-10717
,1779038630.8183165,L:-18467 R:-10717
,1779038630.8202724,L:-18467 R:-10717
,1779038630.8213499,L:-18467 R:-10717
,1779038630.8233185,L:-18467 R:-10717
